tittle , url , addr1 , addr2 , number of post , rating value , category , price 
The Scented Leaf , https://www.yelp.com/biz/the-scented-leaf-tucson-2 , 943 E University Blvd , Tucson , 163 , 4 , Coffee &amp; Tea , $ , https://www.yelp.com/biz/the-scented-leaf-tucson-3 , 308 E Congress St , Tucson , 55 , 4 , Coffee &amp; Tea , $
Dedicated Gluten Free , https://www.yelp.com/biz/dedicated-gluten-free-tucson , 4500 E Speedway Blvd , Tucson , 149 , 4 , Cafes , $
Sauce Pizza &amp; Wine , https://www.yelp.com/biz/sauce-pizza-and-wine-tucson-7 , 6450 E Grant Rd , Tucson , 98 , 4 , Wine Bars , $$
Frankie’s South Philadelphia Cheesesteak , https://www.yelp.com/biz/frankies-south-philadelphia-cheesesteak-tucson , 2574 N Campbell Ave , Tucson , 369 , 4 , American (Traditional) , $$
Dickman’s Meat and Deli , https://www.yelp.com/biz/dickmans-meat-and-deli-tucson , 6472 N Oracle Rd , Tucson , 102 , 4 , Seafood Markets , $$
Just Kabab , https://www.yelp.com/biz/just-kabab-oro-valley , 10420 N La Cañada Dr , Tucson , 137 , 4 , Middle Eastern , 
Jimmy’s Pita &amp; Poke , https://www.yelp.com/biz/jimmys-pita-and-poke-tucson-3 , 3820 W River Rd , Tucson , 85 , 4 , Healthy dining , $$
Ikkyu , https://www.yelp.com/biz/ikkyu-tucson , 2040 W Orange Grove Rd , Tucson , 441 , 4 , Ramen , $$
Alvernon Donut Shop , https://www.yelp.com/biz/alvernon-donut-shop-tucson , 1450 S Alvernon Way , Tucson , 86 , 4 , Coffee &amp; Tea , $
Crossroads Coffee Company , https://www.yelp.com/biz/crossroads-coffee-company-tucson , 8898 E Tanque Verde Rd , Tucson , 99 , 4 , Coffee &amp; Tea , $
5 Points Market &amp; Restaurant , https://www.yelp.com/biz/5-points-market-and-restaurant-tucson , 756 S Stone Ave , Tucson , 518 , 4 , American (New) , $$
The Shelter Cocktail Lounge , https://www.yelp.com/biz/the-shelter-cocktail-lounge-tucson , 4155 E Grant Rd , Tucson , 184 , 4 , Lounges , $
Taqueria Juanitos , https://www.yelp.com/biz/taqueria-juanitos-tucson , 708 W Grant Rd , Tucson , 272 , 4 , Mexican , $
Urban Pita , https://www.yelp.com/biz/urban-pita-tucson , 345 E Congress St , Tucson , 142 , 4 , Falafel , $$
La Cocina , https://www.yelp.com/biz/la-cocina-tucson , 201 N Court Ave , Tucson , 427 , 4 , Bars , $$
Taqueria El Pueblito , https://www.yelp.com/biz/taqueria-el-pueblito-tucson-2 , 1800 E Fort Lowell Rd , Tucson , 315 , 4 , Mexican , $
Presta Coffee Roasters , https://www.yelp.com/biz/presta-coffee-roasters-tucson , 2502 N 1st Ave , Tucson , 84 , 4 , Coffee Roasteries , $$
August Rhodes Market , https://www.yelp.com/biz/august-rhodes-market-tucson , 3073 N Campbell Ave , Tucson , 74 , 4 , American (New) , $$
Tacos Apson , https://www.yelp.com/biz/tacos-apson-tucson , 3501 S 12th Ave , Tucson , 187 , 4 , Mexican , $
Wildflower , https://www.yelp.com/biz/wildflower-tucson , 7037 N Oracle Rd , Tucson , 669 , 4 , American (New) , $$
Graze Premium Burgers , https://www.yelp.com/biz/graze-premium-burgers-tucson-3 , 2721 E Speedway Blvd , Tucson , 359 , 4 , Burgers , $$
Kazoku , https://www.yelp.com/biz/kazoku-tucson , 4210 E Speedway Blvd , Tucson , 389 , 4 , Sushi Bars , $$
Planet of the Crepes , https://www.yelp.com/biz/planet-of-the-crepes-tucson ,  , Tucson , 99 , 4 , Creperies , $
Caffe Luce , https://www.yelp.com/biz/caffe-luce-tucson-5 , 245 E Congress St , Tucson , 299 , 4 , Coffee &amp; Tea , $
Saguaro National Park , https://www.yelp.com/biz/saguaro-national-park-tucson , 3693 S Old Spanish Trl , Tucson , 129 , 4 , Parks , 
El Antojo Poblano , https://www.yelp.com/biz/el-antojo-poblano-tucson-2 , 1114 W St Mary&amp;#39;s St , Tucson , 27 , 5 , Food Trucks , $
Casa Film Bar , https://www.yelp.com/biz/casa-film-bar-tucson-3 , 2905 E Speedway Blvd , Tucson , 52 , 4 , Bars , $
Calle Tepa , https://www.yelp.com/biz/calle-tepa-tucson-2 , 6151 E Broadway , Tucson , 619 , 4 , Mexican , $
Noodleholics , https://www.yelp.com/biz/noodleholics-tucson-3 , 3502 E Grant Rd , Tucson , 292 , 4 , Noodles , $$
Robert’s Restaurant , https://www.yelp.com/biz/roberts-restaurant-tucson-2 , 3301 E Grant Rd , Tucson , 208 , 4 , Breakfast &amp; Brunch , $
Savaya Coffee Market , https://www.yelp.com/biz/savaya-coffee-market-tucson , 5350 E Broadway Blvd , Tucson , 165 , 4 , Coffee &amp; Tea , $
Hotel Congress , https://www.yelp.com/biz/cup-cafe-tucson , 311 E Congress St , Tucson , 750 , 4 , American (New) , $$
Churrasco de Brasil , https://www.yelp.com/biz/churrasco-de-brasil-tucson , 150 W Wetmore Rd , Tucson , 93 , 4 , Brazilian , $$$
Purple Tree Truck , https://www.yelp.com/biz/purple-tree-truck-tucson , University Of Arizona , Tucson , 45 , 4 , Food Trucks , $
Le Buzz , https://www.yelp.com/biz/le-buzz-tucson , 9121 E Tanque Verde Rd , Tucson , 215 , 4 , Coffee &amp; Tea , $$
Kiss Of Smoke BBQ , https://www.yelp.com/biz/kiss-of-smoke-bbq-tucson , 663 S Plumer Ave , Tucson , 72 , 4 , Barbeque , $$
Sushi Nara , https://www.yelp.com/biz/sushi-nara-tucson , 64 N Harrison Rd , Tucson , 137 , 4 , Sushi Bars , $$
Mariscos Chihuahua , https://www.yelp.com/biz/mariscos-chihuahua-tucson-4 , 1009 N Grande Ave , Tucson , 212 , 4 , Seafood , $$
Babylon Market , https://www.yelp.com/biz/babylon-market-tucson , 3954 E Speedway Blvd , Tucson , 82 , 4 , Grocery , $
HeeMee Coffee + Bakery , https://www.yelp.com/biz/heemee-coffee-bakery-tucson , 20 E Congress St , Tucson , 50 , 4 , Coffee &amp; Tea , $$
Papa Locos Tacos and Burgers , https://www.yelp.com/biz/papa-locos-tacos-and-burgers-tucson , 8201 S Rita Rd , Tucson , 220 , 4 , Mexican , $
4th Avenue Delicatessen , https://www.yelp.com/biz/4th-avenue-delicatessen-tucson , 425 N 4th Ave , Tucson , 47 , 4 , Delis , $
Sunny Daze Cafe , https://www.yelp.com/biz/sunny-daze-cafe-tucson , 4980 S Campbell Ave , Tucson , 344 , 4 , American (Traditional) , $
Beyond Bread , https://www.yelp.com/biz/beyond-bread-tucson-2 , 3026 N Campbell Ave , Tucson , 402 , 4 , Bakeries , $$
Sushi On Oracle , https://www.yelp.com/biz/sushi-on-oracle-tucson , 6449 N Oracle Rd , Tucson , 284 , 4 , Sushi Bars , $$
Broadway Pizza Cafe , https://www.yelp.com/biz/broadway-pizza-cafe-tucson , 4558 E Broadway Blvd , Tucson , 126 , 4 , Pizza , $
Frost Gelato , https://www.yelp.com/biz/frost-gelato-tucson , 7301 E Tanque Verde Rd , Tucson , 215 , 4 , Gelato , $ , https://www.yelp.com/biz/frost-gelato-tucson-2 , 7131 N Oracle Rd , Tucson , 191 , 4 , Gelato , $ , https://www.yelp.com/biz/frost-gelato-tucson-3 , 2905 E Skyline Dr , Tucson , 132 , 4 , Gelato , $
Charro del Rey , https://www.yelp.com/biz/charro-del-rey-tucson , 178 E Broadway Blvd , Tucson , 200 , 4 , Mexican , $$
Alafia West African Cuisine , https://www.yelp.com/biz/alafia-west-african-cuisine-tucson , 1070 N Swan Rd , Tucson , 62 , 4 , African , $$
Commoner &amp; Co. , https://www.yelp.com/biz/commoner-and-co-tucson , 6960 E Sunrise Dr , Tucson , 376 , 4 , Cocktail Bars , $$
1912 Brewing Company , https://www.yelp.com/biz/1912-brewing-company-tucson , 2045 N Forbes Blvd , Tucson , 74 , 4 , Family-owned &amp;amp; operated , $
Pin-Up Pastries , https://www.yelp.com/biz/pin-up-pastries-tucson-2 ,  , Tucson , 59 , 4 , Desserts , $
Raijin Ramen , https://www.yelp.com/biz/raijin-ramen-tucson , 2995 E Speedway , Tucson , 466 , 4 , Ramen , $$
4 Seasons , https://www.yelp.com/biz/4-seasons-tucson , 1423 W Miracle Mile , Tucson , 318 , 4 , Thai , $
Crema Coffee , https://www.yelp.com/biz/crema-coffee-tucson , 3725 W Ina Rd , Tucson , 46 , 4 , Coffee &amp; Tea , 
Vivace , https://www.yelp.com/biz/vivace-tucson , 6440 N Campbell Ave , Tucson , 471 , 4 , Italian , $$$
Solid Grindz , https://www.yelp.com/biz/solid-grindz-tucson-3 , 2027 S Craycroft Rd , Tucson , 126 , 4 , Hawaiian , $
Golden House , https://www.yelp.com/biz/golden-house-tucson , 9431 E 22nd St , Tucson , 210 , 4 , Chinese , $
Ermanos Craft Beer &amp; Wine Bar , https://www.yelp.com/biz/ermanos-craft-beer-and-wine-bar-tucson , 220 N 4th Ave , Tucson , 328 , 4 , Wine Bars , $$
Good Oak Bar , https://www.yelp.com/biz/good-oak-bar-tucson-2 , 316 E Congress St , Tucson , 138 , 4 , Wine Bars , $$
Arizona Beer House , https://www.yelp.com/biz/arizona-beer-house-tucson , 150 S Kolb Rd , Tucson , 139 , 4 , Pubs , $$
Juice N Fruit Raspados , https://www.yelp.com/biz/juice-n-fruit-raspados-tucson , 3502 S 6th Ave , Tucson , 38 , 5 , Juice Bars &amp; Smoothies , $
Falora , https://www.yelp.com/biz/falora-tucson-3 , 3000 E Broadway , Tucson , 252 , 4 , Pizza , $$
Reilly Craft Pizza &amp; Drink , https://www.yelp.com/biz/reilly-craft-pizza-and-drink-tucson , 101 E Pennington St , Tucson , 622 , 4 , Pizza , $$
Zemam’s Too , https://www.yelp.com/biz/zemams-too-tucson , 119 E Speedway Blvd , Tucson , 79 , 4 , African , $$
Raptor Canyon Cafe , https://www.yelp.com/biz/raptor-canyon-cafe-tucson , 75 E Pennington St , Tucson , 33 , 5 , Cafes , 
Woops! , https://www.yelp.com/biz/woops-tucson , 845 E University Blvd , Tucson , 115 , 4 , Desserts , $$
La Estrella Bakery , https://www.yelp.com/biz/la-estrella-bakery-tucson-2 , 120 S Avenida Del Convento , Tucson , 103 , 4 , Bakeries , $ , https://www.yelp.com/biz/la-estrella-bakery-tucson , 5266 S 12th Ave , Tucson , 82 , 4 , Bakeries , $
Anita Street Market , https://www.yelp.com/biz/anita-street-market-tucson , 849 Anita Ave , Tucson , 152 , 4 , Mexican , $
Charro Steak , https://www.yelp.com/biz/charro-steak-tucson , 188 E Broadway Blvd , Tucson , 446 , 4 , Steakhouses , $$$
El Sinaloense Hot Dog Cart , https://www.yelp.com/biz/el-sinaloense-hot-dog-cart-tucson , 1526 N Alvernon Way , Tucson , 69 , 4 , Hot Dogs , $
Nook , https://www.yelp.com/biz/nook-tucson , 1 E Congress , Tucson , 437 , 4 , American (New) , $$
Frank’s , https://www.yelp.com/biz/franks-tucson , 3843 E Pima St , Tucson , 257 , 4 , Breakfast &amp; Brunch , $
Nothing Bundt Cakes , https://www.yelp.com/biz/nothing-bundt-cakes-tucson-3 , 5420 E Broadway Blvd , Tucson , 41 , 5 , Desserts ,  , https://www.yelp.com/biz/nothing-bundt-cakes-tucson-2 , 7278 N Oracle Rd , Tucson , 65 , 4 , Bakeries , $
MOD Pizza , https://www.yelp.com/biz/mod-pizza-tucson-2 , 4386 N Oracle Rd , Tucson , 119 , 4 , Fast Food , $
Serial Grillers , https://www.yelp.com/biz/serial-grillers-tucson-4 , 5975 E Speedway Blvd , Tucson , 869 , 4 , Pizza , $$ , https://www.yelp.com/biz/serial-grillers-tucson-5 , 1970 W River Rd , Tucson , 257 , 4 , Cheesesteaks , $$
Sauce Pizza &amp; Wine , https://www.yelp.com/biz/sauce-pizza-and-wine-tucson-7 , 6450 E Grant Rd , Tucson , 98 , 4 , Wine Bars , $$ , https://www.yelp.com/biz/sauce-pizza-and-wine-tucson-4 , 5285 E Broadway Blvd , Tucson , 195 , 4 , Pizza , $$
Asian Sofrito , https://www.yelp.com/biz/asian-sofrito-tucson , 2530 N 1st Ave , Tucson , 106 , 4 , Asian Fusion , $$
Cappy’s Breakfast Cafe , https://www.yelp.com/biz/cappys-breakfast-cafe-tucson , 917 W Prince Rd , Tucson , 127 , 4 , Breakfast &amp; Brunch , $
Black Crown Coffee Co. , https://www.yelp.com/biz/black-crown-coffee-co-tucson , 4024 E Speedway Blvd , Tucson , 146 , 4 , Coffee &amp; Tea , $
El Sur Restaurant , https://www.yelp.com/biz/el-sur-restaurant-tucson-2 , 5602 E 22nd St , Tucson , 361 , 4 , Mexican , $
Reid Park Zoo , https://www.yelp.com/biz/reid-park-zoo-tucson , 3400 Zoo Ct , Tucson , 225 , 4 , Zoos , 
Catalina State Park , https://www.yelp.com/biz/catalina-state-park-tucson-2 , 11570 N Oracle Rd , Tucson , 85 , 4 , Parks , 
Saffron Indian Bistro , https://www.yelp.com/biz/saffron-indian-bistro-oro-valley , 7607 N Oracle Rd , Tucson , 433 , 4 , Indian , $$
Persian Room Fine Dining , https://www.yelp.com/biz/persian-room-fine-dining-tucson-2 , 9290 N Thornydale Rd , Tucson , 166 , 4 , Persian/Iranian , $$
El Guero Canelo , https://www.yelp.com/biz/el-guero-canelo-tucson-2 , 5201 S 12th Ave , Tucson , 574 , 4 , Mexican , $
Carniceria los Vaqueros , https://www.yelp.com/biz/carniceria-los-vaqueros-tucson , 2023 S Craycroft Rd , Tucson , 58 , 4 , Grocery , $
Saing Thai Cuisine , https://www.yelp.com/biz/saing-thai-cuisine-tucson , 9136 E Valencia Rd , Tucson , 300 , 4 , Thai , $$
Tough Luck Club , https://www.yelp.com/biz/tough-luck-club-tucson , 101 E Pennington St - Basement , Tucson , 83 , 4 , Bars , $$
Taqueria Pico De Gallo , https://www.yelp.com/biz/taqueria-pico-de-gallo-tucson , 2618 S 6th Ave , Tucson , 364 , 4 , Mexican , $
The B-Line , https://www.yelp.com/biz/the-b-line-tucson , 621 N 4th Ave , Tucson , 428 , 4 , American (Traditional) , $$
Revel , https://www.yelp.com/biz/revel-tucson , 416 E 9th St , Tucson , 53 , 4 , Wine Bars , $$
Seis Kitchen , https://www.yelp.com/biz/seis-kitchen-tucson-3 , 130 S Avenida Del Convento , Tucson , 442 , 4 , Mexican , $$ , https://www.yelp.com/biz/seis-kitchen-tucson , 1765 E River , Tucson , 242 , 4 , Mexican , $$
Sidecar , https://www.yelp.com/biz/sidecar-tucson-2 , 139 S Eastbourne , Tucson , 145 , 4 , Cocktail Bars , $$
Samurai , https://www.yelp.com/biz/samurai-tucson , 3912 N Oracle Rd , Tucson , 162 , 4 , Japanese , $
BK Tacos , https://www.yelp.com/biz/bk-tacos-tucson-2 , 5118 S 12th Ave , Tucson , 235 , 4 , Hot Dogs , $$
Senae Thai Bistro , https://www.yelp.com/biz/senae-thai-bistro-tucson-2 , 63 East Congress St , Tucson , 407 , 4 , Thai , $$
El Berraco , https://www.yelp.com/biz/el-berraco-tucson , 2960 N 1st Ave , Tucson , 283 , 4 , Seafood , $$
Ha Long Bay , https://www.yelp.com/biz/ha-long-bay-tucson-2 , 7245 E Tanque Verde Rd , Tucson , 202 , 4 , Vietnamese , $$
47 Scott , https://www.yelp.com/biz/47-scott-tucson , 47 N Scott Ave , Tucson , 411 , 4 , Comfort Food , $$
Polish Cottage , https://www.yelp.com/biz/polish-cottage-tucson , 4520 E Broadway Blvd , Tucson , 248 , 4 , Polish , $$
First Watch , https://www.yelp.com/biz/first-watch-tucson-12 , 4775 E Grant Rd , Tucson , 175 , 4 , Breakfast &amp; Brunch , $$
